nba_id,player_name,season,age,tm_id,team_name,dpm,o_dpm,d_dpm,box_odpm,box_ddpm,on_off_odpm,on_off_ddpm
2198,Kwame Brown,2010,28.09659402,1610612765,Detroit Pistons,-2.003804919,-2.902478881,0.8986739619,-3.269220416,0.7403932165,-2.735903115,0.9418090866
2198,Kwame Brown,2011,29.09319899,1610612766,Charlotte Hornets,-2.508564195,-3.045046417,0.536482222,-2.875477358,0.2974530441,-3.112570184,0.5935922297
2198,Kwame Brown,2012,30.13087285,1610612749,Milwaukee Bucks,-1.976148233,-2.439184225,0.4630359921,-2.815615427,1.01038333,-2.29176937,0.3344274264
2198,Kwame Brown,2013,31.10557442,1610612755,Philadelphia 76ers,-1.647398151,-3.227156884,1.579758733,-3.370550679,1.244381913,-3.172107055,1.657010764
2198,Kwame Brown,2014,31.69422845,1610612755,Philadelphia 76ers,-1.827852963,-3.24531157,1.417458608,-3.562210679,0.9298648491,-3.1236519,1.529772895
2199,Tyson Chandler,2002,19.54057606,1610612741,Chicago Bulls,-0.3818186756,-1.499313345,1.117494669,-1.557363364,1.474734648,-1.27863279,0.3026534328
2199,Tyson Chandler,2003,20.51801555,1610612741,Chicago Bulls,-1.306995616,-1.635997087,0.3290014712,-1.503854802,0.9663949901,-1.847390921,-0.282798419
2199,Tyson Chandler,2004,21.533786,1610612741,Chicago Bulls,-1.580028303,-2.615328554,1.035300251,-2.352900228,1.204375555,-2.952856948,0.9048241325
2199,Tyson Chandler,2005,22.59336327,1610612741,Chicago Bulls,1.025893049,-1.238504717,2.264397765,-0.9618567872,2.039146775,-1.463540654,2.374334394
2199,Tyson Chandler,2006,23.58723031,1610612741,Chicago Bulls,1.3040713,-1.140949449,2.445020749,-0.9396775916,1.261309921,-1.262329172,2.873332471
2199,Tyson Chandler,2007,24.5427664,1610612740,New Orleans Pelicans,1.210039726,-0.4720545081,1.682094234,0.1478426866,1.135019961,-0.7623025215,1.83578477
2199,Tyson Chandler,2008,25.62972292,1610612740,New Orleans Pelicans,2.88939005,0.424703085,2.464686965,-0.07542033067,1.57531411,0.6081807487,2.660454708
2199,Tyson Chandler,2009,26.5743073,1610612740,New Orleans Pelicans,1.523925164,-0.8229762509,2.346901415,-2.02140484,1.27880717,-0.4249396204,2.55975046
2199,Tyson Chandler,2010,27.56543643,1610612766,Charlotte Hornets,0.449582036,-2.017391622,2.466973658,-1.762824392,1.691577484,-2.09608076,2.610783032
2199,Tyson Chandler,2011,28.69346183,1610612742,Dallas Mavericks,3.044666551,-0.3990787048,3.443745256,-1.206207292,1.959822172,-0.1838042303,3.681217277
2199,Tyson Chandler,2012,29.60245318,1610612752,New York Knicks,2.005118915,-1.041547643,3.046666558,-0.9803846817,1.980193034,-1.056191492,3.199869832
2199,Tyson Chandler,2013,30.62643741,1610612752,New York Knicks,2.305508476,-0.749482826,3.054991302,-1.814673386,1.790070284,-0.5204219023,3.218198143
2199,Tyson Chandler,2014,31.53816668,1610612752,New York Knicks,1.925470333,-0.7582202734,2.683690607,-2.065040037,1.377921142,-0.49514634,2.841408106
2199,Tyson Chandler,2015,32.57036469,1610612742,Dallas Mavericks,2.896698516,-0.1153450684,3.012043584,0.3047002788,2.491516088,-0.1924586421,3.069379873
2199,Tyson Chandler,2016,33.53137663,1610612756,Phoenix Suns,-1.62822556,-2.761755748,1.133530188,-0.5725238202,1.965044703,-3.140342023,1.047253358
2199,Tyson Chandler,2017,34.52524368,1610612756,Phoenix Suns,-0.4769877858,-1.761940187,1.284952402,-0.5854893944,1.660310995,-1.956388436,1.247727987
2199,Tyson Chandler,2018,35.52184865,1610612756,Phoenix Suns,-1.788835812,-2.819406445,1.030570633,-1.214437805,2.323621272,-3.074696239,0.9071653692
2199,Tyson Chandler,2019,36.51845362,1610612747,Los Angeles Lakers,-0.6812803753,-3.081690021,2.400409646,-2.379233195,1.41254622,-3.190211082,2.491977398
2199,Tyson Chandler,2020,37.94765086,1610612745,Houston Rockets,-1.770380183,-3.715634739,1.945254555,-3.085448536,1.472867813,-3.812283135,1.988723061
2200,Pau Gasol,2002,21.78019932,1610612763,Memphis Grizzlies,1.725900969,1.455266079,0.2706348902,2.310304871,0.2226327917,-0.05393662383,0.3214711078
2200,Pau Gasol,2003,22.77680429,1610612763,Memphis Grizzlies,1.222431034,2.054195552,-0.8317645185,2.249082773,-0.2712691638,1.883459015,-1.126387334
2200,Pau Gasol,2004,23.80352645,1610612763,Memphis Grizzlies,1.775440203,2.310136804,-0.5346966008,2.737229441,-0.3690988777,2.049801772,-0.5952608225
2200,Pau Gasol,2005,24.8192969,1610612763,Memphis Grizzlies,2.848130708,2.251442933,0.5966877749,2.315573613,1.463842959,2.219302062,0.3359284354
2200,Pau Gasol,2006,25.8186398,1610612763,Memphis Grizzlies,3.110676717,2.080670224,1.030006493,1.843697878,0.850600058,2.17225551,1.071608789
2200,Pau Gasol,2007,26.78238966,1610612763,Memphis Grizzlies,2.062149188,2.066772174,-0.004622986093,2.423618091,0.9476146075,1.948260055,-0.1943715974
